,state,male_ben,female_ben
0,CA,64813,87052
1,FL,62314,94670
2,TX,46538,74342
3,NY,43276,68241
4,IL,40706,65111
5,NJ,34490,55245
6,OH,34343,53774
7,PA,32835,54391
8,MI,27374,45348
9,MA,24808,39763
10,NC,21959,37047
11,VA,20936,34320
12,IN,20228,34012
13,MD,19896,30408
14,TN,17061,29988
15,MO,15832,26360
16,GA,14995,25890
17,CT,13941,21896
18,MN,13841,20895
19,WA,13418,19735
20,WI,12966,21480
21,AL,12356,21997
22,KY,12194,22146
23,SC,10546,18292
24,AZ,10098,14297
25,LA,8871,14675
26,CO,8163,13015
27,OK,8065,13920
28,KS,7944,12865
29,MS,7878,13554
30,IA,7591,12657
31,AR,7310,12530
32,OR,5557,7557
33,NE,5438,9025
34,NV,4546,5464
35,UT,4535,7089
36,ME,4046,6892
37,NH,3925,6535
38,WV,3856,6936
39,NM,3164,4520
40,DE,3123,5093
41,RI,3087,5000
42,ID,2695,4192
43,MT,2317,3355
44,SD,2206,3444
45,VT,1761,2667
46,ND,1558,2533
47,HI,1309,1658
48,DC,1185,1918
49,WY,1046,1586
50,AK,281,366
51,PR,62,118
