,state,distinct_beneficiaries_per_provider,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dual_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,total_bens_gender,total_bens_race,total_bens_dual
9,FL,157512,62314.0,94670.0,94982.0,56124.0,127460.0,13203.0,60.0,11466.0,0.0,16.0,156984.0,152205.0,151106.0
4,CA,154056,64813.0,87052.0,73856.0,62015.0,102831.0,9788.0,9825.0,20972.0,59.0,101.0,151865.0,143576.0,135871.0
44,TX,124232,46538.0,74342.0,67299.0,45997.0,89488.0,11024.0,474.0,15865.0,0.0,0.0,120880.0,116851.0,113296.0
34,NY,112694,43276.0,68241.0,60686.0,47972.0,87265.0,12776.0,1654.0,6068.0,12.0,332.0,111517.0,108107.0,108658.0
14,IL,107220,40706.0,65111.0,67257.0,31280.0,87790.0,12242.0,624.0,2822.0,0.0,0.0,105817.0,103478.0,98537.0
31,NJ,90035,34490.0,55245.0,63531.0,22879.0,71214.0,10514.0,789.0,4131.0,0.0,37.0,89735.0,86685.0,86410.0
35,OH,90683,34343.0,53774.0,54353.0,28956.0,78540.0,8270.0,0.0,97.0,0.0,0.0,88117.0,86907.0,83309.0
38,PA,88583,32835.0,54391.0,51703.0,27876.0,78513.0,6614.0,63.0,435.0,0.0,0.0,87226.0,85625.0,79579.0
22,MI,73168,27374.0,45348.0,47219.0,24036.0,60050.0,10216.0,170.0,250.0,21.0,54.0,72722.0,70761.0,71255.0
19,MA,65378,24808.0,39763.0,41336.0,21668.0,59777.0,1690.0,212.0,590.0,0.0,52.0,64571.0,62321.0,63004.0
27,NC,59785,21959.0,37047.0,35479.0,22676.0,47368.0,10564.0,0.0,0.0,157.0,22.0,59006.0,58111.0,58155.0
46,VA,55625,20936.0,34320.0,36005.0,15569.0,43814.0,9877.0,359.0,166.0,0.0,36.0,55256.0,54252.0,51574.0
15,IN,55462,20228.0,34012.0,33914.0,18389.0,50655.0,2972.0,0.0,127.0,0.0,0.0,54240.0,53754.0,52303.0
20,MD,50528,19896.0,30408.0,34865.0,13663.0,34139.0,14240.0,469.0,246.0,0.0,0.0,50304.0,49094.0,48528.0
43,TN,47473,17061.0,29988.0,27804.0,17911.0,41863.0,4333.0,0.0,0.0,0.0,0.0,47049.0,46196.0,45715.0
24,MO,44322,15832.0,26360.0,26614.0,13344.0,39543.0,3321.0,0.0,0.0,0.0,0.0,42192.0,42864.0,39958.0
10,GA,41699,14995.0,25890.0,23167.0,15583.0,31313.0,8827.0,11.0,23.0,0.0,0.0,40885.0,40174.0,38750.0
6,CT,35973,13941.0,21896.0,21348.0,13575.0,31847.0,1697.0,0.0,570.0,0.0,15.0,35837.0,34129.0,34923.0
23,MN,36129,13841.0,20895.0,24039.0,6259.0,34323.0,543.0,0.0,16.0,41.0,0.0,34736.0,34923.0,30298.0
49,WI,35500,12966.0,21480.0,22121.0,10256.0,33353.0,881.0,0.0,74.0,62.0,0.0,34446.0,34370.0,32377.0
1,AL,34986,12356.0,21997.0,21584.0,12527.0,27875.0,6360.0,0.0,0.0,0.0,0.0,34353.0,34235.0,34111.0
17,KY,35111,12194.0,22146.0,20351.0,13451.0,32434.0,1762.0,0.0,0.0,0.0,11.0,34340.0,34207.0,33802.0
48,WA,33576,13418.0,19735.0,22411.0,9834.0,30033.0,582.0,525.0,219.0,44.0,11.0,33153.0,31414.0,32245.0
